Device Name;Region;Type;Famille;Produit;Edition;Version
Device 97;EMEA;Desktop;Office;Office;Home and Business;2013
Device 98;EMEA;Desktop;Office;Office;Small Business;2007
Device 99;EMEA;Desktop;Office;Office;Home and Business;2013
Device 100;EMEA;Desktop;Office;Office;Home and Business;2013
Device 101;EMEA;Desktop;Office;Office;Home and Business;2013
Device 102;EMEA;Desktop;Office;Office;Home and Business;2013
Device 103;EMEA;Desktop;Office;Office;Professional;2013
Device 104;EMEA;Desktop;Office;Office;Professional;2013
Device 105;EMEA;Desktop;Office;Office;Home and Business;2013
Device 106;EMEA;Desktop;Office;Office;Small Business;2007
Device 107;EMEA;Desktop;Office;Office;Home and Business;2013
Device 108;EMEA;Desktop;Office;Office;Professional;2013
Device 109;EMEA;Desktop;Office;Office;Home and Business;2013
Device 110;EMEA;Desktop;Office;Office;Small Business;2007
Device 111;EMEA;Desktop;Office;Office;Professional;2010
Device 112;EMEA;Desktop;Office;Office;Small Business;2007
Device 113;EMEA;Desktop;Office;Office;Small Business;2007
Device 114;EMEA;Desktop;Office;Office;Home and Business;2013
Device 115;EMEA;Desktop;Office;Office;Home and Business;2013
Device 116;EMEA;Desktop;Office;Office;Home and Business;2016
Device 117;EMEA;Desktop;Office;Office;Home and Business;2013
Device 118;EMEA;Desktop;Office;Office;Home and Business;2013
Device 119;EMEA;Desktop;Office;Office;Home and Business;2013
Device 120;EMEA;Desktop;Office;Project;Standard;2016
Device 120;EMEA;Desktop;Office;Office;Home and Business;2010
Device 121;EMEA;Desktop;Office;Office;Professional;2013
Device 122;EMEA;Desktop;Office;Office;Home and Business;2013
Device 123;EMEA;Desktop;Office;Office;Professional;2013
Device 124;EMEA;Desktop;Office;Office;Professional;2010
Device 125;EMEA;Desktop;Office;Office;Home and Business;2013
Device 126;EMEA;Desktop;Office;Office;Home and Business;2013
Device 127;EMEA;Desktop;Office;Office;Professional;2013
Device 128;EMEA;Desktop;Office;Office;Professional;2013
Device 129;EMEA;Desktop;Office;Office;Home and Business;2013
Device 130;EMEA;Desktop;Office;Office;Home and Business;2013
Device 131;EMEA;Desktop;Office;Office;Professional;2013
Device 132;EMEA;Desktop;Office;Office;Professional;2013
Device 133;EMEA;Desktop;Office;Office;Professional;2010
Device 133;EMEA;Desktop;Office;Project;Standard;2010
Device 134;EMEA;Desktop;Office;Office;Home and Business;2010
Device 134;EMEA;Desktop;Office;Project;Standard;2007
Device 135;EMEA;Desktop;Office;Office;Home and Business;2013
Device 136;EMEA;Desktop;Office;Project;Standard;2013
Device 136;EMEA;Desktop;Office;Office;Home and Business;2013
Device 137;EMEA;Desktop;Office;Office;Home and Business;2013
Device 137;EMEA;Desktop;Office;Office;Professional;2013
Device 138;EMEA;Desktop;Office;Office;Home and Business;2010
Device 139;EMEA;Desktop;Office;Office;Professional;2013
Device 140;EMEA;Desktop;Office;Office;Professional;2013
Device 141;EMEA;Desktop;Office;Office;Home and Business;2013
Device 142;EMEA;Desktop;Office;Office;Professional;2013
Device 143;EMEA;Desktop;Office;Office;Professional;2013
Device 143;EMEA;Desktop;Office;Office;Home and Business;2013
Device 144;EMEA;Desktop;Office;Office;Home and Business;2013
Device 145;EMEA;Desktop;Office;Office;Professional;2013
Device 146;EMEA;Desktop;Office;Project;Standard;2013
Device 146;EMEA;Desktop;Office;Office;Home and Business;2013
Device 147;EMEA;Desktop;Office;Office;Home and Business;2013
Device 148;EMEA;Desktop;Office;Office;Professional;2013
Device 149;EMEA;Desktop;Office;Office;Professional;2013
Device 150;EMEA;Desktop;Office;Office;Home and Business;2013
Device 151;EMEA;Desktop;Office;Office;Professional;2013
Device 152;EMEA;Desktop;Office;Office;Professional;2010
Device 153;EMEA;Desktop;Office;Office;Professional;2013
Device 154;EMEA;Desktop;Office;Office;Professional;2013
Device 155;EMEA;Desktop;Office;Office;Professional;2013
Device 156;EMEA;Desktop;Office;Office;Professional;2013
Device 156;EMEA;Desktop;Office;Office;Home and Business;2013
Device 157;EMEA;Desktop;Office;Office;Home and Business;2013
Device 158;EMEA;Desktop;Office;Office;Home and Business;2013
Device 159;EMEA;Desktop;Office;Office;Home and Business;2013
Device 160;EMEA;Desktop;Office;Office;Home and Business;2013
Device 161;EMEA;Desktop;Office;Office;Home and Business;2013
Device 162;EMEA;Desktop;Office;Office;Professional;2013
Device 163;EMEA;Desktop;Office;Office;Home and Business;2013
Device 164;EMEA;Desktop;Office;Office;Home and Business;2013
Device 165;EMEA;Desktop;Office;Project;Standard;2010
Device 165;EMEA;Desktop;Office;Visio;Standard;2007
Device 165;EMEA;Desktop;Office;Office;Small Business;2007
Device 166;EMEA;Desktop;Office;Office;Professional;2013
Device 167;EMEA;Desktop;Office;Office;Home and Business;2013
Device 168;EMEA;Desktop;Office;Office;Professional;2013
Device 169;EMEA;Desktop;Office;Office;Professional;2010
Device 170;EMEA;Desktop;Office;Office;Professional;2013
Device 171;EMEA;Desktop;Office;Office;Home and Business;2013
Device 172;EMEA;Desktop;Office;Office;Professional;2013
Device 173;EMEA;Desktop;Office;Office;Home and Business;2013
Device 174;EMEA;Desktop;Office;Project;Standard;2016
Device 174;EMEA;Desktop;Office;Office;Home and Business;2016
Device 175;EMEA;Desktop;Office;Office;Home and Business;2016
Device 176;EMEA;Desktop;Office;Office;Home and Business;2013
Device 177;EMEA;Desktop;Office;Office;Professional;2013
Device 177;EMEA;Desktop;Office;Visio;Standard;2010
Device 177;EMEA;Desktop;Office;Project;Standard;2010
Device 178;EMEA;Desktop;Office;Office;Professional;2013
Device 178;EMEA;Desktop;Office;Project;Standard;2010
Device 178;EMEA;Desktop;Office;Visio;Standard;2007
Device 179;EMEA;Desktop;Office;Office;Home and Business;2013
Device 180;EMEA;Desktop;Office;Office;Home and Business;2013
Device 181;EMEA;Desktop;Office;Office;Small Business;2007
Device 182;EMEA;Desktop;Office;Office;Small Business;2007
Device 183;EMEA;Desktop;Office;Office;Small Business;2007
Device 184;EMEA;Desktop;Office;Office;Home and Business;2013
Device 185;EMEA;Desktop;Office;Office;Home and Business;2016
Device 185;EMEA;Desktop;Office;Visio;Professional;2016
Device 186;EMEA;Desktop;Office;Office;Home and Business;2010
Device 186;EMEA;Desktop;Office;Visio;Standard;2010
Device 187;EMEA;Desktop;Office;Office;Home and Business;2010
Device 188;EMEA;Desktop;Office;Office;Home and Business;2010
Device 189;EMEA;Desktop;Office;Office;Home and Business;2010
Device 190;EMEA;Desktop;Office;Office;Home and Business;2010
Device 191;EMEA;Desktop;Office;Office;Professional;2013
Device 192;EMEA;Desktop;Office;Visio;Standard;2007
Device 192;EMEA;Desktop;Office;Office;Professional;2013
Device 193;EMEA;Desktop;Office;Office;Home and Business;2013
Device 193;EMEA;Desktop;Office;Project;Standard;2010
Device 194;EMEA;Desktop;Office;Visio;Standard;2010
Device 194;EMEA;Desktop;Office;Project;Standard;2010
Device 194;EMEA;Desktop;Office;Office;Professional;2013
Device 195;EMEA;Desktop;Office;Office;Home and Business;2013
Device 196;EMEA;Desktop;Office;Office;Home and Business;2013
Device 197;EMEA;Desktop;Office;Office;Professional;2013
Device 198;EMEA;Desktop;Office;Office;Professional;2013
Device 199;EMEA;Desktop;Office;Office;Professional;2013
Device 200;EMEA;Desktop;Office;Office;Professional;2013
Device 201;EMEA;Desktop;Office;Office;Professional;2013
Device 202;EMEA;Desktop;Office;Office;Professional;2013
Device 203;EMEA;Desktop;Office;Office;Home and Business;2013
Device 204;EMEA;Desktop;Office;Office;Home and Business;2013
Device 204;EMEA;Desktop;Office;Project;Standard;2013
Device 205;EMEA;Desktop;Office;Office;Small Business;2007
Device 205;EMEA;Desktop;Office;Office;Professional;2013
Device 206;EMEA;Desktop;Office;Office;Professional;2013
Device 207;EMEA;Desktop;Office;Office;Professional;2013
Device 208;EMEA;Desktop;Office;Office;Small Business;2007
Device 209;EMEA;Desktop;Office;Office;Home and Business;2013
Device 210;EMEA;Desktop;Office;Office;Professional;2013
Device 211;EMEA;Desktop;Office;Office;Home and Business;2013
Device 212;EMEA;Desktop;Office;Office;Home and Business;2013
Device 213;EMEA;Desktop;Office;Office;Professional;2013
Device 213;EMEA;Desktop;Office;Project;Standard;2010
Device 213;EMEA;Desktop;Office;Visio;Standard;2007
Device 214;EMEA;Desktop;Office;Office;Professional;2013
Device 215;EMEA;Desktop;Office;Visio;Standard;2010
Device 215;EMEA;Desktop;Office;Office;Professional;2013
Device 216;EMEA;Desktop;Office;Office;Professional;2010
Device 217;EMEA;Desktop;Office;Office;Home and Business;2013
Device 218;EMEA;Desktop;Office;Office;Professional;2013
Device 219;EMEA;Desktop;Office;Office;Small Business;2007
Device 220;EMEA;Desktop;Office;Office;Home and Business;2013
Device 221;EMEA;Desktop;Office;Office;Professional;2013
Device 222;EMEA;Desktop;Office;Office;Professional;2013
Device 222;EMEA;Desktop;Office;Office;Home and Business;2013
Device 223;EMEA;Desktop;Office;Office;Home and Business;2013
Device 224;EMEA;Desktop;Office;Office;Home and Business;2013
Device 225;EMEA;Desktop;Office;Office;Home and Business;2013
Device 226;EMEA;Desktop;Office;Office;Home and Business;2013
Device 227;EMEA;Desktop;Office;Office;Home and Business;2013
